State,Formal_Volunteering,Organizational_Membership,Charitable_Giving,Voting_Local,Attending_Public_Meetings
AL,0.20,0.18,0.40,0.50,0.08
AK,0.27,0.26,0.48,0.67,0.14
AZ,0.23,0.23,0.49,0.59,0.06
AR,0.21,0.23,0.52,0.46,0.07
CA,0.18,0.18,0.39,0.58,0.08
CO,0.26,0.27,0.56,0.72,0.12
CT,0.29,0.22,0.61,0.57,0.10
DE,0.30,0.31,0.49,0.40,0.09
DC,0.34,0.36,0.61,0.78,0.14
FL,0.16,0.18,0.37,0.54,0.07
GA,0.20,0.22,0.46,0.55,0.08
HI,0.20,0.23,0.45,0.59,0.07
ID,0.28,0.27,0.57,0.56,0.13
IL,0.28,0.30,0.56,0.55,0.09
IN,0.28,0.29,0.52,0.62,0.08
IA,0.30,0.29,0.58,0.55,0.11
KS,0.32,0.33,0.54,0.52,0.08
KY,0.23,0.20,0.45,0.66,0.06
LA,0.22,0.20,0.42,0.60,0.06
ME,0.35,0.39,0.53,0.61,0.19
MD,0.24,0.25,0.47,0.53,0.07
MA,0.23,0.25,0.54,0.53,0.11
MI,0.24,0.27,0.52,0.56,0.10
MN,0.35,0.34,0.62,0.65,0.10
MS,0.21,0.21,0.41,0.60,0.08
MO,0.30,0.28,0.55,0.52,0.07
MT,0.31,0.29,0.57,0.68,0.12
NE,0.34,0.32,0.61,0.68,0.11
NV,0.17,0.21,0.41,0.53,0.07
NH,0.28,0.29,0.59,0.54,0.12
NJ,0.20,0.18,0.51,0.51,0.06
NM,0.20,0.20,0.44,0.54,0.08
NY,0.22,0.24,0.48,0.56,0.09
NC,0.23,0.25,0.48,0.59,0.06
ND,0.27,0.32,0.57,0.63,0.08
OH,0.24,0.27,0.47,0.52,0.07
OK,0.24,0.21,0.47,0.47,0.07
OR,0.28,0.33,0.57,0.72,0.10
PA,0.26,0.30,0.52,0.56,0.08
RI,0.20,0.27,0.54,0.55,0.10
SC,0.22,0.22,0.51,0.58,0.09
SD,0.34,0.35,0.56,0.53,0.11
TN,0.24,0.20,0.47,0.58,0.07
TX,0.21,0.19,0.46,0.49,0.06
UT,0.41,0.34,0.53,0.56,0.10
VT,0.29,0.33,0.50,0.70,0.17
VA,0.27,0.29,0.55,0.58,0.09
WA,0.25,0.25,0.55,0.58,0.10
WV,0.22,0.24,0.46,0.50,0.05
WI,0.25,0.28,0.53,0.51,0.10
WY,0.39,0.36,0.52,0.66,0.16
